gene	Ctrl1-SRR5136882	Ctrl2-SRR5136883	Ctrl3-SRR5137136	ZIKV1-SRR5137139	ZIKV2-SRR5137142	ZIKV3-SRR5137144
Chst3	894.2992861	746.0851748	619.6521627	1089.324658	964.6906272	925.3480809
Chst4	0	1.808691333	0	2.849149062	2.635766741	5.012719831
Chst5	219.9642965	207.0951576	149.1327033	102.5693662	238.0975956	118.300188
Chst7	447.7051084	459.4075985	393.0629391	333.3504403	412.9367894	395.0023227
Chst8	665.4475433	631.2332752	665.8948615	568.8800961	597.4404613	667.6942815
Chst9	51.10281635	34.36513532	20.80921442	12.3463126	19.3289561	8.02035173
Chsy1	3127.270174	2799.854183	3425.427907	3130.265103	2523.30736	2669.774582
Chsy3	1023.167258	897.1109011	662.426659	445.41697	527.1533482	483.2261917
Chtf18	158.863103	193.5299726	218.4967514	184.2449727	239.8547734	172.4375622
Chtf8	4774.780536	5296.752568	5025.425283	3975.512658	4719.779644	4457.310474
Chtop	16298.46562	16601.0734	15747.95105	14020.66253	14274.43408	14554.9333
Chuk	2319.62349	2685.906629	3067.046992	4956.569652	3903.570544	4302.918703
Churc1	505.4735095	567.9290785	565.3169918	492.9027878	730.9859762	576.4627806
Ciao1	2870.645162	2770.915122	2380.342916	3160.656026	3524.020133	3430.705453
Ciao2a	1947.461675	1776.134889	1836.991206	2161.554422	2690.239254	2554.482026
Ciao2b	1463.095851	1323.962056	1262.425675	1249.826722	1799.350095	1507.826125
Ciapin1	5801.280586	5918.038041	5464.73092	3348.699864	4344.622178	3681.341444
Ciart	171.0833417	179.0604419	188.4389973	829.1023771	796.8801447	979.485455
Cib1	566.574703	497.3901165	619.6521627	1062.7326	925.1541261	1120.844154
Cib2	3397.226356	3314.426867	3289.011946	1339.100059	2098.948915	1794.5537
Cib3	0	0	0	36.08922145	25.4790785	21.05342329
Cib4	0	0	0	3.798865416	2.635766741	2.005087933
Cic	22119.74296	24173.15966	24625.39313	16213.5576	13906.30533	16841.73609
Cidea	377.7164687	302.9557982	228.9013586	648.6562698	833.7808791	767.9486782
Cideb	12.22023869	8.139110998	5.780337339	36.08922145	20.20754502	24.06105519
Cidec	2.22186158	0.904345666	0	20.89375979	6.150122396	10.02543966
Ciita	82.20887847	69.63461631	70.52011554	319.104695	210.8613393	351.8929322
Cilp	28.88420054	17.18256766	31.21382163	48.43553406	47.44380134	51.12974228
Cilp2	1049.829597	1352.901117	1098.264094	759.7730832	940.9687266	853.1649153
Cinp	2771.772321	2873.106182	2739.879899	1955.465973	2597.987418	2358.985953
Cip2a	856.5276392	984.8324307	1034.680384	980.1072774	953.2689714	876.2234265
Cipc	6228.98894	6663.21887	6307.504104	6534.048516	6469.050172	6411.268664
Cir1	1773.045541	1654.95257	1767.627158	2132.113215	2384.490312	2358.985953
Cirbp	11347.04709	10202.82781	11561.83075	9306.270553	9790.994854	9904.131843
Cisd1	5695.742161	5947.881448	5264.731248	3283.169436	5001.806686	3959.046123
Cisd2	3798.272372	4104.82498	3899.415569	3375.291922	3653.172703	3472.812299
Cisd3	366.6071608	370.7817232	350.2884427	160.5020638	335.620965	255.6487114
Cish	588.7933188	662.8853735	595.3747459	544.1874709	541.2107708	605.5365556
Cit	6271.20431	5836.646931	5891.319816	3835.904354	3617.150558	3536.975113
Cited1	191.0800959	164.5909113	163.005513	420.7243448	366.371577	401.0175865
Cited2	4268.196096	3890.495057	3277.451271	4878.692911	4682.000321	5127.009843
Cited4	252.1812894	265.8776259	235.8377634	398.8808687	495.5241473	453.1498727
Ciz1	2706.227405	2616.272013	3018.492158	3809.312296	3444.068542	3707.407587
CK137956	326.6136523	420.5207349	372.2537246	499.5508022	534.1820595	567.4398849
Ckap2	592.1261112	636.6593491	563.0048568	1389.435026	995.4412392	1055.678796
Ckap2l	796.5373765	919.7195427	847.3974539	1132.061894	1013.891606	904.2946576
